Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
Karnali vs Biratnagar - 13th Match,Aqib Ilyas,8,14,2,0,57.14
Karnali vs Biratnagar - 13th Match,Naren Bhatta,7,16,0,0,43.75
Karnali vs Biratnagar - 13th Match,Nicholas Kirton,40,39,4,1,102.56
Karnali vs Biratnagar - 13th Match,Basir Ahamad,8,10,1,0,80
Karnali vs Biratnagar - 13th Match,Dipak Bohara,18,13,0,1,138.46
Karnali vs Biratnagar - 13th Match,Pratis GC,7,7,0,0,100
Karnali vs Biratnagar - 13th Match,Chris Sole,0,3,0,0,0
Karnali vs Biratnagar - 13th Match,Sandeep Lamichhane,6,5,0,0,120
Karnali vs Biratnagar - 13th Match,Subash Bhandari,,,,,
Janakpur vs Lumbini - 14th Match,Anil Sah,45,39,1,4,115.38
Janakpur vs Lumbini - 14th Match,Aasif Sheikh,16,10,2,1,160
Janakpur vs Lumbini - 14th Match,Lahiru Milantha,24,23,2,0,104.34
Janakpur vs Lumbini - 14th Match,Harsh Thaker,1,3,0,0,33.33
Janakpur vs Lumbini - 14th Match,James Neesham,1,2,0,0,50
Janakpur vs Lumbini - 14th Match,Shubh Kansakar,22,24,0,2,91.66
Janakpur vs Lumbini - 14th Match,Mohammad Mohsin,3,5,0,0,60
Janakpur vs Lumbini - 14th Match,Sher Malla,0,2,0,0,0
Janakpur vs Lumbini - 14th Match,Hemant Dhami,9,11,1,0,81.81
Janakpur vs Lumbini - 14th Match,Lalit Rajbanshi,0,1,0,0,0
Janakpur vs Lumbini - 14th Match,Kishore Mahato,,,,,
Janakpur vs Lumbini - 14th Match,Ashutosh Ghiraiya,8,14,1,0,57.14
Janakpur vs Lumbini - 14th Match,Arjun Saud,20,23,2,0,86.95
Janakpur vs Lumbini - 14th Match,Rohit Paudel,35,38,3,0,92.1
Janakpur vs Lumbini - 14th Match,Tom Moores,31,23,2,1,134.78
Janakpur vs Lumbini - 14th Match,Ben Cutting,3,7,0,0,42.85
Janakpur vs Lumbini - 14th Match,Bibek Yadav,0,2,0,0,0
Janakpur vs Lumbini - 14th Match,Sundeep Jora,16,8,1,1,200
Janakpur vs Lumbini - 14th Match,Saad Bin Zafar,0,2,0,0,0
Janakpur vs Lumbini - 14th Match,Durgesh Gupta,5,3,1,0,166.66
Janakpur vs Lumbini - 14th Match,Abhishesh Gautam,,,,,
Janakpur vs Lumbini - 14th Match,Ramon Simmonds,,,,,
Chitwan vs S Paschim - 15th Match,Santosh Karki,9,7,1,0,128.57
Chitwan vs S Paschim - 15th Match,Hassan Eisakhil,65,52,6,3,125
Chitwan vs S Paschim - 15th Match,Bipin Rawal,17,20,2,0,85
Chitwan vs S Paschim - 15th Match,Kushal Malla,13,16,1,0,81.25
Chitwan vs S Paschim - 15th Match,Ravi Bopara,36,18,2,2,200
Chitwan vs S Paschim - 15th Match,Jan Nicol Loftie-Eaton,2,4,0,0,50
Chitwan vs S Paschim - 15th Match,Amar Routela,6,3,1,0,200
Chitwan vs S Paschim - 15th Match,Sohail Tanvir,,,,,
Chitwan vs S Paschim - 15th Match,Deepak Bohara,,,,,
Chitwan vs S Paschim - 15th Match,Ranjit Kumar,,,,,
Chitwan vs S Paschim - 15th Match,Rijan Dhakal,,,,,
Chitwan vs S Paschim - 15th Match,Saif Zaib,18,11,3,0,163.63
Chitwan vs S Paschim - 15th Match,Binod Bhandari,10,8,2,0,125
Chitwan vs S Paschim - 15th Match,Brandon McMullen,13,9,2,0,144.44
Chitwan vs S Paschim - 15th Match,Dilpreet Bajwa,12,16,1,0,75
Chitwan vs S Paschim - 15th Match,Aarif Sheikh,4,9,0,0,44.44
Chitwan vs S Paschim - 15th Match,Ishan Pandey,35,28,4,1,125
