matches_name,Player_Name,Overs,Maidens,Runs_conceded,Wickets,Economy,Wides,No_balls
Janakpur vs Lumbini - 14th Match,Abhishesh Gautam,4,0,20,3,5,0,0
Janakpur vs Lumbini - 14th Match,Saad Bin Zafar,3,0,11,2,3.66,1,0
Janakpur vs Lumbini - 14th Match,Bibek Yadav,2,0,19,0,9.5,4,0
Janakpur vs Lumbini - 14th Match,Rohit Paudel,4,0,22,2,5.5,0,0
Janakpur vs Lumbini - 14th Match,Sundeep Jora,2,0,13,1,6.5,0,0
Janakpur vs Lumbini - 14th Match,Kishore Mahato,3,0,25,1,8.33,1,0
Janakpur vs Lumbini - 14th Match,Lalit Rajbanshi,4,0,13,1,3.25,0,0
Janakpur vs Lumbini - 14th Match,James Neesham,1,0,9,0,9,0,0
Janakpur vs Lumbini - 14th Match,Mohammad Mohsin,4,0,18,0,4.5,0,0
Janakpur vs Lumbini - 14th Match,Sher Malla,4,0,33,1,8.25,2,0
Janakpur vs Lumbini - 14th Match,Harsh Thaker,4,0,23,5,5.75,0,0
Chitwan vs S Paschim - 15th Match,Scott Kuggeleijn,4,0,29,2,7.25,1,0
Chitwan vs S Paschim - 15th Match,Brandon McMullen,3,0,22,1,7.33,1,0
Chitwan vs S Paschim - 15th Match,Abinash Bohara,4,0,38,0,9.5,2,0
Chitwan vs S Paschim - 15th Match,Dipendra Singh Airee,4,0,32,1,8,0,0
Chitwan vs S Paschim - 15th Match,Naren Saud,1,0,10,0,10,0,0
Chitwan vs S Paschim - 15th Match,Saif Zaib,3,0,22,1,7.33,0,0
Chitwan vs S Paschim - 15th Match,Ishan Pandey,1,0,8,0,8,0,0
Chitwan vs S Paschim - 15th Match,Sohail Tanvir,3.2,0,22,1,6.6,2,1
Chitwan vs S Paschim - 15th Match,Rijan Dhakal,3,0,33,2,11,1,0
Chitwan vs S Paschim - 15th Match,Kushal Malla,4,0,18,2,4.5,0,0
Chitwan vs S Paschim - 15th Match,Ranjit Kumar,4,0,30,1,7.5,1,0
Chitwan vs S Paschim - 15th Match,Jan Nicol Loftie-Eaton,3,0,18,2,6,1,0
Chitwan vs S Paschim - 15th Match,Amar Routela,1,0,9,2,9,0,0
Lumbini vs Chitwan - 16th Match,Sohail Tanvir,4,0,27,0,6.75,1,0
Lumbini vs Chitwan - 16th Match,Rijan Dhakal,4,0,29,3,7.25,0,1
Lumbini vs Chitwan - 16th Match,Kushal Malla,4,0,42,1,10.5,0,0
Lumbini vs Chitwan - 16th Match,Ranjit Kumar,4,0,26,1,6.5,0,0
Lumbini vs Chitwan - 16th Match,Jan Nicol Loftie-Eaton,2,0,22,0,11,0,0
Lumbini vs Chitwan - 16th Match,Nar Sarki,2,0,18,0,9,0,0
Lumbini vs Chitwan - 16th Match,Ramon Simmonds,4,0,22,2,5.5,1,0
Lumbini vs Chitwan - 16th Match,Rohit Paudel,4,0,17,4,4.25,0,0
Lumbini vs Chitwan - 16th Match,Saad Bin Zafar,4,0,21,1,5.25,0,0
Lumbini vs Chitwan - 16th Match,Abhishesh Gautam,4,0,31,1,7.75,1,0
Lumbini vs Chitwan - 16th Match,Bibek Yadav,3,0,31,0,10.33,1,0
Lumbini vs Chitwan - 16th Match,Sundeep Jora,1,0,9,0,9,0,0
Pokhara vs Karnali - 17th Match,Sompal Kami,2.3,0,26,1,10.4,0,0
Pokhara vs Karnali - 17th Match,Bipin Sharma,2,0,21,1,10.5,0,0
Pokhara vs Karnali - 17th Match,Zeeshan Maqsood,4,0,11,0,2.75,0,0
Pokhara vs Karnali - 17th Match,Unish Thakuri,4,0,17,1,4.25,0,0
Pokhara vs Karnali - 17th Match,William Bosisto,4,0,28,6,7,1,0
Pokhara vs Karnali - 17th Match,Bipin Khatri,3,1,12,1,4,0,0
Pokhara vs Karnali - 17th Match,Sagar Dhakal,4,0,24,1,6,0,0
Pokhara vs Karnali - 17th Match,Michael Leask,3,1,25,0,8.33,1,0
Pokhara vs Karnali - 17th Match,Raymon Reifer,2,0,7,0,3.5,0,0
Pokhara vs Karnali - 17th Match,Matt Critchley,2,0,20,0,10,0,0
Pokhara vs Karnali - 17th Match,Kushal Bhurtel,1,0,14,1,14,0,0
S Paschim vs Janakpur - 18th Match,Kishore Mahato,4,0,35,4,8.75,2,0
S Paschim vs Janakpur - 18th Match,Harsh Thaker,3,1,9,1,3,0,0
S Paschim vs Janakpur - 18th Match,Lalit Rajbanshi,4,0,32,0,8,0,0
S Paschim vs Janakpur - 18th Match,James Neesham,2,0,12,0,6,0,0
S Paschim vs Janakpur - 18th Match,Sher Malla,4,0,19,2,4.75,0,0
S Paschim vs Janakpur - 18th Match,Arniko Yadav,3,0,16,2,5.33,3,0
S Paschim vs Janakpur - 18th Match,Harmeet Singh,4,2,2,2,0.5,1,0
S Paschim vs Janakpur - 18th Match,Saif Zaib,1,0,2,1,2,0,0
